รหัสประเภท,หน่วย,ชื่อ,รายละเอียดโดยย่อ,ราคาขาย/ต่อหน่วย,สต็อกขั้นต่ำให้แจ้งเตือน,บาร์โค้ด (ถ้ามี)
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4977 River Blue,,550,12,8858776949717
CAT005,แกลลอน,สีพ่นอุตสาหกรรม เท็มโก้ T165 ดำด้าน,ขนาด 3.2 ลิตร,480,12,8858648331367
CAT005,แกลลอน,สีพ่นอุตสาหกรรม เท็มโก้ T166 ขาวด้าน,,480,12,8858648331374
CAT005,กระป๋อง,สีสเปรย์ ATM A200 WHAITE,,55,12,8858776951000
CAT005,กระป๋อง,สีสเปรย์ ATM A211 RED,,55,12,8858776951024
CAT005,กระป๋อง,สีสเปรย์ ATM A212 Flat Black,,55,12,8858776951031
CAT005,กระป๋อง,สีสเปรย์ ATM A218 Yellow,,55,12,8858776951093
CAT005,กระป๋อง,สีสเปรย์ ATM A210 Black,,55,12,8858776951017
CAT005,กระป๋อง,สีสเปรย์ ATM A10 Clear,,55,12,8858776951321
CAT005,กระป๋อง,สีสเปรย์ ATM A266 Primer Surfacer,,55,12,8858776951253
CAT005,กระป๋อง,สีสเปรย์ ATM A300 Bright Silver,,55,12,8858776951314
,,,,,,
CAT006,หลอด,แดป อคิลิคสีขาว Werkzeug,,50,24,8859566108888
CAT006,หลอด,ซิลิโคน จีพี SA-105,,110,24,9555075106894
CAT006,หลอด,กาวตะปู H.B.Fuller,,145,24,9312280414486
CAT006,หลอด,กาวตะปู Mixpro Bond,,100,24,8854368171832
CAT006,หลอด,กาวตะปู X'traseal,,100,24,9555075100144
CAT006,กระป๋อง,สเปรย์กันสนิม TOA RUST-PRO,,100,24,8850106736295
CAT006,กระป๋อง,สเปรย์กันปลวก เชนไดร้ท์1,,100,24,8851495000202
,,,,,,
CAT005,ถัง,ลีพ่นอุตสาหกรรม TOA สีขาว ,,3100,10,8850106008880
CAT005,ถัง,สีพ่นรองพื้นรถยนต์ TOA สีเทา,,2100,10,8850106031031
CAT005,ถัง,สีพ่นรองพื้นรถยนต์ TOA สีขาว,,2100,10,8850106031048
,,,,,,
CAT010,กล่อง,ลูกแม็กซ์ F10 HI-TOP,,60,24,8858673901016
CAT010,กล่อง,ลูกแม็กซ์ F15 HI-TOP,,65,24,8858673901023
CAT010,กล่อง,ลูกแม็กซ์ F20 HI-TOP,,75,24,8858673901030
CAT010,กล่อง,ลูกแม็กซ์ F25 HI-TOP,,85,24,8858673901047
CAT010,กล่อง,ลูกแม็กซ์ F30 HI-TOP,,95,24,8858673901054
CAT010,กล่อง,ลูกแม็กซ์ F35 HI-TOP,,130,24,8858673901061
CAT010,กล่อง,ลูกแม็กซ์ F40 HI-TOP,,140,24,8858673901078
CAT010,กล่อง,ลูกแม็กซ์ F45 HI-TOP,,150,24,8858673901085
CAT010,กล่อง,ลูกแม็กซ์ F50 HI-TOP,,180,24,8858673901092
CAT010,กล่อง,ลูกแม็กซ์ 1006J HI-TOP,,75,24,8858673901191
CAT010,กล่อง,ลูกแม็กซ์ 1008J HI-TOP,,75,24,8858673901207
CAT010,กล่อง,ลูกแม็กซ์ 1010J HI-TOP,,150,24,8858673901214
CAT010,กล่อง,ลูกแม็กซ์ 1013J HI-TOP,,95,24,8858673901726
CAT010,กล่อง,ลูกแม็กซ์ 1016J HI-TOP,,120,24,8858673901733
CAT010,กล่อง,ลูกแม็กซ์ T25 HI-TOP,,160,24,8858673901108
CAT010,กล่อง,ลูกแม็กซ์ T32 HI-TOP,,180,24,8858673901115
CAT010,กล่อง,ลูกแม็กซ์ T38 HI-TOP,,200,24,8858673901122
CAT010,กล่อง,ลูกแม็กซ์ T45 HI-TOP,,210,24,8858673901139
CAT010,กล่อง,ลูกแม็กซ์ T50 HI-TOP,,220,24,8858673901146
CAT010,กล่อง,ตะปูคอนกรีต ST18 HI-TOP,,140,24,8858673901474
CAT010,กล่อง,ตะปูคอนกรีต ST25 HI-TOP,,85,24,8858673901481
CAT010,กล่อง,ตะปูคอนกรีต ST32 HI-TOP,,180,24,8858673901498
CAT010,กล่อง,ตะปูคอนกรีต ST38 HI-TOP,,210,24,8858673901504
CAT010,กล่อง,ตะปูคอนกรีต ST45 HI-TOP,,235,24,8858673901511
CAT010,กล่อง,ตะปูคอนกรีต ST50 HI-TOP,,250,24,8858673901528
CAT010,กล่อง,ตะปูคอนกรีต ST57 HI-TOP,,275,24,8858673901535
CAT010,กล่อง,ตะปูคอนกรีต WT25  ROCKY,,150,24,
CAT010,กล่อง,ตะปูคอนกรีต WT32  HI-UP,,165,24,
CAT010,กล่อง,ตะปูคอนกรีต WT38  HI-UP,,175,24,
CAT010,กล่อง,ตะปูคอนกรีต WT45 ,,190,24,
